task,lang,variant,N,steps,dt,alpha,avg_ns
sort,tenge,,100000,,,,77156400
sort,c,,100000,,,,63007600
sort,rust,,100000,,,,58838800
sort,go,,100000,,,,69550000
fib_iter,tenge,,90,,,,76
fib_iter,c,,90,,,,177717400
fib_iter,rust,,90,,,,72606600
fib_iter,go,,90,,,,61253200
fib_iter_fixed,c,,,,,,47562000
fib_iter_fixed,rust,,,,,,51043200
fib_iter_fixed,go,,,,,,182726200
fib_rec,tenge,,35,,,,50959400
fib_rec,c,,35,,,,105315200
fib_rec,rust,,35,,,,124208600
fib_rec,go,,35,,,,124579600
var_mc_sort,tenge,sort,1000000,,,0.99,331344000
var_mc_zig,tenge,zig,1000000,,,0.99,207178600
var_mc_qsel,tenge,qsel,1000000,,,0.99,123193800
var_mc,c,,1000000,,,0.99,344828200
var_mc,rust,,1000000,,,0.99,168045600
var_mc,go,,1000000,,,0.99,283621600
nbody,tenge,,4096,10,0.001,,744004000
nbody,c,,4096,10,0.001,,713374000
nbody,rust,,4096,10,0.001,,925321000
nbody,go,,4096,10,0.001,,1602478000
nbody_sym,tenge,,4096,10,0.001,,152028800
nbody_sym,c,,4096,10,0.001,,863465800
nbody_sym,rust,,4096,10,0.001,,917228400
nbody_sym,go,,4096,10,0.001,,930018000
